127.0.0.1, 2019-05-09 00:33:48, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.758000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000

127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
0
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-05-09 00:33:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/default/site, HTTP/1.1, 303, 0.158000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-09 00:33:52, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
